No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	4	22uF	C1,C3,C15,C16	C0805	22uF	CL21A226MAQNNNE	SAMSUNG(三星)	C45783	LCSC
2	9	100nF	C5,C6,C7,C8,C9,C11,C12,C13,C14	C0402	100nF	CL05B104KB54PNC	SAMSUNG(三星)	C307331	LCSC
3	1	4.7uF	C10	C0805	4.7uF	CL21A475KAQNNNE	SAMSUNG(三星)	C1779	LCSC
4	1	B5819W SL	D1	SOD-123_L2.7-W1.6-LS3.7-RD-1		B5819W SL	CJ(江苏长电/长晶)	C8598	LCSC
5	1	USBLC6-2SC6	D2	SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL		USBLC6-2SC6	ST(意法半导体)	C7519	LCSC
6	1	TYPE-C-31-M-12	J1	USB-C_SMD-TYPE-C-31-M-12_1		TYPE-C-31-M-12	韩国韩荣	C165948	LCSC
7	1	HDR-M_2.54_1x3P	J3	HDR-TH_3P-P2.54-V-M					
8	1	22uH	L1	IND-SMD_L4.0-W4.0_LQH44PN2R2MP0L	22uH	SMNR4020-22UH	SXN(顺翔诺)	C135264	LCSC
9	1	KT-0805G	LED1	LED0805-R-RD		KT-0805G	KENTO	C2297	LCSC
10	2	KT-0805Y	LED2,LED3	LED0805-R-RD		KT-0805Y	KENTO	C2296	LCSC
11	1	100kΩ	R1	R0402	100kΩ	0402WGF1003TCE	UNI-ROYAL(厚声)	C25741	LCSC
12	3	5.1kΩ	R2,R4,R5	R0402	5.1kΩ	0402WGF5101TCE	UNI-ROYAL(厚声)	C25905	LCSC
13	1	10Ω	R6	R0402	10Ω	0402WGF100JTCE	UNI-ROYAL(厚声)	C25077	LCSC
14	3	680Ω	R7,R8,R9	R0402	680Ω	0402WGF6800TCE	UNI-ROYAL(厚声)	C25130	LCSC
15	1	RJ-064-1	RJ1	CONN-SMD_RJ-064		RJ-064-1	FG(富港)	C7205199	LCSC
16	1	FT232RL-REEL	U1	SSOP-28_L10.2-W5.3-P0.65-LS7.8-BL		FT232RL-REEL	FTDI(飞特帝亚)	C8690	LCSC
17	1	MAX3232CSE+T	U2	SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL		MAX3232CSE+T	ADI(亚德诺)/MAXIM(美信)	C7258	LCSC
18	1	MT3608	U3	SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL		MT3608	西安航天民芯	C84817	LCSC
19	1	AMS1117-3.3	U4	SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR		AMS1117-3.3	AMS	C6186	LCSC
